city,house_type,price,price_m2,living_area,energy_label,zip,address,year_built,house_age,date_list,term_days,date_sold,street,number,suffix,extra
amsterdam,appartement,750000,8152.2,92,D,1052GG,Fagelstraat 74 -3,1905,118,2022-11-02,19,2022-11-21,Fagelstraat,74,3,
amsterdam,appartement,490000,8305.1,59,C,1058CH,Van Walbeeckstraat 27 1,1935,88,2023-03-15,19,2023-04-03,Van Walbeeckstraat,27,1,
amsterdam,appartement,3250000,14192.1,229,B,1071AK,Vossiusstraat 74,1885,138,2022-09-15,78,2022-12-02,Vossiusstraat,74,,
amsterdam,appartement,490000,8305.1,59,F,1059BM,Sassenheimstraat 92 1,1935,88,2022-03-18,18,2022-04-05,Sassenheimstraat,92,1,
amsterdam,appartement,350000,7142.9,49,na,1055NJ,Gibraltarstraat 35 -1,1930,93,2022-05-25,40,2022-07-04,Gibraltarstraat,35,1,
amsterdam,appartement,375000,9615.4,39,E,1015RE,Egelantiersgracht 97 II,1940,83,2022-11-17,22,2022-12-09,Egelantiersgracht,97,2,
amsterdam,appartement,450000,5769.2,78,A,1093DC,Von Zesenstraat 211 .,1988,35,2022-11-29,43,2023-01-11,Von Zesenstraat,211,,
amsterdam,huis,575000,5275.2,109,na,1066NW,Turnhoutplantsoen 148,1992,31,2022-09-07,33,2022-10-10,Turnhoutplantsoen,148,,
amsterdam,appartement,375000,9146.3,41,C,1092GJ,Pretoriusstraat 56 III A,1914,109,2022-10-15,27,2022-11-11,Pretoriusstraat,56,3A,
amsterdam,huis,842000,5806.9,145,A,1087KH,Willy Mullenskade 33 +2pp,2008,15,2022-11-25,26,2022-12-21,Willy Mullenskade,33,2,2
amsterdam,appartement,1300000,8074.5,161,C,1075HE,Johannes Verhulststraat 200 BV,1910,113,2022-06-10,21,2022-07-01,Johannes Verhulststraat,200,BV,
amsterdam,huis,895000,5593.8,160,D,1082BG,Neerkanne 15,1960,63,2023-01-20,34,2023-02-23,Neerkanne,15,,
amsterdam,appartement,550000,6111.1,90,A,1019NE,Venetiëhof 208,1994,29,2022-09-22,25,2022-10-17,Venetiëhof,208,,
amsterdam,appartement,375000,6818.2,55,C,1055CC,Esmoreitstraat 47 1,1940,83,2022-07-22,37,2022-08-28,Esmoreitstraat,47,1,
amsterdam,appartement,365000,5069.4,72,C,1033WE,Reizigersweg 59,1989,34,2022-05-25,27,2022-06-21,Reizigersweg,59,,
amsterdam,appartement,700000,6087.0,115,A,1061AX,Postjesweg 298,2018,5,2022-03-16,23,2022-04-08,Postjesweg,298,,
amsterdam,appartement,499000,7231.9,69,D,1055AM,Elckerlijcstraat 10 HS,1940,83,2022-05-10,28,2022-06-07,Elckerlijcstraat,10,H,
amsterdam,appartement,395000,7900.0,50,D,1013SV,Spaarndammerstraat 20 D,1909,114,2023-03-06,43,2023-04-18,Spaarndammerstraat,20,D,
