city,house_type,price,price_m2,living_area,energy_label,zip,address,year_built,house_age,date_list,term_days,date_sold,street,number,suffix,extra
den-haag,appartement,385000,4325.8,89,G,2564JR,Vlierboomstraat 630,1935,88,2022-05-13,111,2022-09-01,Vlierboomstraat,630,,
den-haag,appartement,295000,3734.2,79,C,2564RG,Pippelingstraat 153,1935,88,2022-05-19,50,2022-07-08,Pippelingstraat,153,,
den-haag,huis,359500,3423.8,105,D,2574RL,Loenensestraat 191,1929,94,2022-10-19,21,2022-11-09,Loenensestraat,191,,
den-haag,appartement,225000,3879.3,58,E,2553KV,Forellendaal 984,1976,47,2022-09-09,25,2022-10-04,Forellendaal,984,,
den-haag,appartement,749500,6461.2,116,D,2514AH,Koninginnegracht 77,1939,84,2022-06-09,20,2022-06-29,Koninginnegracht,77,,
den-haag,huis,1090000,5956.3,183,C,2596SW,De Mildestraat 49,1936,87,2022-08-24,9,2022-09-02,De Mildestraat,49,,
den-haag,appartement,280000,4666.7,60,G,2586AM,Wassenaarsestraat 121 c,1934,89,2023-03-10,47,2023-04-26,Wassenaarsestraat,121,c,
den-haag,appartement,199500,3911.8,51,E,2545GP,Leyweg 772,1958,65,2022-10-07,20,2022-10-27,Leyweg,772,,
den-haag,huis,1500000,6048.4,248,C,2582GV,Statenlaan 104,1907,116,2022-08-18,42,2022-09-29,Statenlaan,104,,
den-haag,appartement,310000,3875.0,80,C,2595HC,De Carpentierstraat 35,1957,66,2022-11-23,21,2022-12-14,De Carpentierstraat,35,,
den-haag,appartement,375000,6250.0,60,D,2517XN,Van Blankenburgstraat 85 A,1899,124,2022-11-26,42,2023-01-07,Van Blankenburgstraat,85,A,
den-haag,appartement,725000,3918.9,185,D,2517CX,Reinkenstraat 84 A,1898,125,2022-09-09,103,2022-12-21,Reinkenstraat,84,A,
den-haag,appartement,195000,4333.3,45,D,2592CH,Het Kleine Loo 144,1965,58,2022-05-12,27,2022-06-08,Het Kleine Loo,144,,
den-haag,appartement,895000,5700.6,157,A,2597JR,Badhuisweg 205,2006,17,2023-04-07,17,2023-04-24,Badhuisweg,205,,
den-haag,huis,725000,4239.8,171,na,2498DP,Watermunt 30,2006,17,2022-08-11,39,2022-09-19,Watermunt,30,,
den-haag,appartement,450000,4205.6,107,C,2563GD,Meidoornstraat 3,1921,102,2023-02-15,13,2023-02-28,Meidoornstraat,3,,
den-haag,huis,375000,5208.3,72,F,2512EV,Rode Leeuwstraat 38,1902,121,2022-08-18,25,2022-09-12,Rode Leeuwstraat,38,,
den-haag,appartement,765000,4135.1,185,C,2596RK,Goetlijfstraat 52,1955,68,2022-05-09,30,2022-06-08,Goetlijfstraat,52,,
den-haag,appartement,599000,6806.8,88,A,2511CB,Kalvermarkt 12 A,2015,8,2022-08-26,15,2022-09-10,Kalvermarkt,12,A,
den-haag,appartement,300000,4761.9,63,C,2518VS,Tasmanstraat 174,0,2023,2022-11-25,46,2023-01-10,Tasmanstraat,174,,
den-haag,huis,450000,3543.3,127,>A+,2526TD,Paulus Potterstraat 60,2005,18,2023-02-07,-1,2023-02-06,Paulus Potterstraat,60,,
den-haag,appartement,325000,4333.3,75,C,2563RK,Indigostraat 78,1952,71,2022-06-03,10,2022-06-13,Indigostraat,78,,
den-haag,appartement,425000,5592.1,76,D,2585CT,Sumatrastraat 172,1912,111,2022-04-21,36,2022-05-27,Sumatrastraat,172,,
den-haag,appartement,235000,3983.1,59,E,2561SN,Mariottestraat 96,1911,112,2022-09-24,94,2022-12-27,Mariottestraat,96,,
den-haag,appartement,225000,2812.5,80,D,2544XA,Wezelrade 149 d,1961,62,2022-07-12,22,2022-08-03,Wezelrade,149,d,
den-haag,appartement,290000,5576.9,52,B,2563CB,Valkenbosplein 17 E,1984,39,2022-04-19,13,2022-05-02,Valkenbosplein,17,E,
den-haag,appartement,215000,3583.3,60,na,2522RL,Pasteurstraat 30,1930,93,2022-06-25,20,2022-07-15,Pasteurstraat,30,,
den-haag,huis,1150000,5555.6,207,F,2596XJ,Neuhuyskade 63,1930,93,2022-07-29,75,2022-10-12,Neuhuyskade,63,,
