city,house_type,price,price_m2,living_area,energy_label,zip,address,year_built,house_age,date_list,term_days,date_sold,street,number,suffix,extra
rotterdam,appartement,275000,3313.3,83,E,3067AM,Rinze Koopmansstraat 101,1966,57,2022-05-27,26,2022-06-22,Rinze Koopmansstraat,101,,
rotterdam,huis,325000,3066.0,106,B,3068GR,Waver 1,1982,41,2023-03-16,28,2023-04-13,Waver,1,,
rotterdam,appartement,448000,3829.1,117,C,3039XG,Hogerbeetsstraat 3 C,1937,86,2023-03-30,15,2023-04-14,Hogerbeetsstraat,3,C,
rotterdam,huis,550000,5000.0,110,E,3053WT,Meidoornlaan 15,1955,68,2022-04-06,47,2022-05-23,Meidoornlaan,15,,
rotterdam,appartement,225000,3214.3,70,B,3076GE,Molièreweg 673,1962,61,2022-06-23,15,2022-07-08,Molièreweg,673,,
rotterdam,appartement,275000,2412.3,114,D,3082KD,Boergoensestraat 122 B,1937,86,2022-03-22,40,2022-05-01,Boergoensestraat,122,B,
rotterdam,huis,295000,3172.0,93,B,3067DT,Nystadstraat 26,1980,43,2022-06-28,22,2022-07-20,Nystadstraat,26,,
rotterdam,huis,1250000,4845.0,258,C,3035EJ,Noordsingel 47,1880,143,2022-09-29,75,2022-12-13,Noordsingel,47,,
rotterdam,appartement,225000,3571.4,63,B,3083EL,Pleinweg 102 A,1939,84,2022-12-28,29,2023-01-26,Pleinweg,102,A,
rotterdam,appartement,399500,3768.9,106,A,3027CB,Dirk Danestraat 10 A,2007,16,2022-06-13,8,2022-06-21,Dirk Danestraat,10,A,
rotterdam,appartement,399000,4156.2,96,C,3039TH,Van der Meydestraat 10 b,1937,86,2023-01-25,42,2023-03-08,Van der Meydestraat,10,b,
rotterdam,appartement,285000,5480.8,52,D,3037RV,Schiebroeksestraat 12 B,1909,114,2022-05-06,12,2022-05-18,Schiebroeksestraat,12,B,
rotterdam,appartement,575000,4956.9,116,A,3024EP,Müllerkade 285,2007,16,2022-04-26,77,2022-07-12,Müllerkade,285,,
rotterdam,appartement,488000,3753.8,130,A,3037GA,Bergsingel 35 B,2006,17,2022-10-05,21,2022-10-26,Bergsingel,35,B,
rotterdam,appartement,309500,5429.8,57,D,3031PK,Jan van Loonslaan 17 A,1952,71,2022-08-31,23,2022-09-23,Jan van Loonslaan,17,A,
rotterdam,huis,495000,4194.9,118,A,3054WB,Ismenestraat 48,1998,25,2022-11-09,23,2022-12-02,Ismenestraat,48,,
rotterdam,huis,475000,4203.5,113,B,3069ZA,Boy Edgarstraat 260,1988,35,2022-03-23,56,2022-05-18,Boy Edgarstraat,260,,
rotterdam,appartement,325000,3350.5,97,C,3053HG,Kastanjesingel 79 b,1954,69,2022-10-15,87,2023-01-10,Kastanjesingel,79,b,
rotterdam,appartement,400000,4301.1,93,E,3061JV,Ramlehweg 13 C,1938,85,2022-05-24,20,2022-06-13,Ramlehweg,13,C,
rotterdam,huis,495000,3613.1,137,A,3059VJ,Laan van Magisch Realisme 15 B,2009,14,2022-10-06,28,2022-11-03,Laan van Magisch Realisme,15,B,
rotterdam,appartement,535000,5000.0,107,A,3024EA,Lloydstraat 44 C,1917,106,2022-11-26,61,2023-01-26,Lloydstraat,44,C,
rotterdam,appartement,195000,2635.1,74,B,3077PP,Toutenburgplantsoen 9,1981,42,2022-11-16,33,2022-12-19,Toutenburgplantsoen,9,,
rotterdam,appartement,325000,4452.1,73,D,3072NC,Brede Hilledijk 171 A,1897,126,2022-09-15,27,2022-10-12,Brede Hilledijk,171,A,
rotterdam,appartement,325000,4642.9,70,B,3038PH,Abraham Kuyperlaan 95,1933,90,2022-09-22,68,2022-11-29,Abraham Kuyperlaan,95,,
rotterdam,huis,440000,3259.3,135,na,3028EC,Italiaansestraat 39,2009,14,2022-10-18,98,2023-01-24,Italiaansestraat,39,,
rotterdam,huis,495000,3837.2,129,A,3059RA,Laan van Avant-Garde 382,2007,16,2023-02-09,19,2023-02-28,Laan van Avant-Garde,382,,
rotterdam,appartement,497500,5349.5,93,A,3063TL,Buitenbassinweg 609,1991,32,2022-02-11,110,2022-06-01,Buitenbassinweg,609,,
rotterdam,appartement,495000,4541.3,109,A,3072AW,Maashavenstraat 31,2009,14,2022-09-02,68,2022-11-09,Maashavenstraat,31,,
rotterdam,appartement,359000,4786.7,75,A,3037BS,Voorburgstraat 230,1994,29,2022-06-03,12,2022-06-15,Voorburgstraat,230,,
rotterdam,appartement,269000,3022.5,89,F,3068ZL,Zernikeplaats 86,1973,50,2022-09-17,61,2022-11-17,Zernikeplaats,86,,
rotterdam,appartement,300000,4761.9,63,D,3051XW,Saffierstraat 32 A,1930,93,2022-08-23,86,2022-11-17,Saffierstraat,32,A,
rotterdam,appartement,725000,7250.0,100,A,3011XB,Boompjes 55 d,2021,2,2022-03-19,327,2023-02-09,Boompjes,55,d,
rotterdam,huis,349500,4314.8,81,E,3079JG,Bredenoord 62,1964,59,2022-09-22,12,2022-10-04,Bredenoord,62,,
rotterdam,appartement,245000,3828.1,64,B,3052SZ,Wiardapad 45,1985,38,2023-02-20,18,2023-03-10,Wiardapad,45,,
rotterdam,huis,339000,4460.5,76,F,3079DR,Zevenbergsedijkje 28,1931,92,2022-04-28,8,2022-05-06,Zevenbergsedijkje,28,,
rotterdam,appartement,450000,4054.1,111,A,3069EA,Hesseplaats 355,2011,12,2022-06-22,47,2022-08-08,Hesseplaats,355,,
rotterdam,huis,285000,2794.1,102,D,3079CE,Kleine Kreek 67,1970,53,2022-10-19,36,2022-11-24,Kleine Kreek,67,,
rotterdam,appartement,325000,5508.5,59,A,3021JG,Claes de Vrieselaan 101 A01,1902,121,2022-10-11,21,2022-11-01,Claes de Vrieselaan,101,A01,01
rotterdam,appartement,409000,3684.7,111,A,3065PG,Huub van den Brulestraat 215,1999,24,2022-09-28,30,2022-10-28,Huub van den Brulestraat,215,,
rotterdam,huis,995000,5320.9,187,na,3077CJ,Benedenrijweg 435,1931,92,2022-06-28,115,2022-10-21,Benedenrijweg,435,,
rotterdam,appartement,275000,2777.8,99,E,3082WH,Bouwmanstraat 6 C,1940,83,2022-06-29,61,2022-08-29,Bouwmanstraat,6,C,
rotterdam,appartement,345000,4859.2,71,B,3024EN,Sint-Jobskade 100,2004,19,2022-03-08,57,2022-05-04,Sint-Jobskade,100,,
rotterdam,huis,435000,4780.2,91,C,3043LD,Oude Kleiweg 25,1900,123,2022-11-04,19,2022-11-23,Oude Kleiweg,25,,
rotterdam,appartement,575000,4713.1,122,D,3021AN,Essenburgsingel 20 a,1912,111,2022-05-14,19,2022-06-02,Essenburgsingel,20,a,
rotterdam,appartement,825000,9593.0,86,A,3011XB,Boompjes 55 R,2021,2,2022-06-03,47,2022-07-20,Boompjes,55,R,
rotterdam,appartement,425000,5000.0,85,>A+,3036GJ,1e Pijnackerstraat 38 M,1911,112,2022-10-10,0,2022-10-10,1e Pijnackerstraat,38,M,
rotterdam,appartement,459000,4172.7,110,E,3039JD,Statenweg 46 A,1938,85,2022-10-04,28,2022-11-01,Statenweg,46,A,
rotterdam,appartement,750000,7500.0,100,A,3011WD,Posthoornstraat 434,2013,10,2022-06-28,41,2022-08-08,Posthoornstraat,434,,
rotterdam,appartement,319500,3101.9,103,D,3069SM,Söderblomplaats 458,1972,51,2022-06-22,188,2022-12-27,Söderblomplaats,458,,
rotterdam,huis,390000,3170.7,123,B,3077ZG,Solingstraat 25,1998,25,2023-01-09,106,2023-04-25,Solingstraat,25,,
rotterdam,huis,489000,7887.1,62,E,3055XK,Terbregse Rechter Rottekade 278,1920,103,2022-10-04,15,2022-10-19,Terbregse Rechter Rottekade,278,,
rotterdam,appartement,260000,5416.7,48,C,3038TT,Dr. de Visserstraat 28 a,1933,90,2023-02-10,45,2023-03-27,Dr. de Visserstraat,28,a,
rotterdam,appartement,300000,3846.2,78,A,3022MZ,Weizichtstraat 38,1925,98,2023-03-03,21,2023-03-24,Weizichtstraat,38,,
rotterdam,appartement,340000,5396.8,63,C,3061KM,Libanonweg 118,1991,32,2022-05-03,30,2022-06-02,Libanonweg,118,,
rotterdam,appartement,415000,4278.4,97,B,3011DE,Sint-Jacobstraat 40,1978,45,2022-05-11,26,2022-06-06,Sint-Jacobstraat,40,,
rotterdam,huis,400000,2963.0,135,A,3067RP,Helsinkipad 19,1981,42,2022-07-06,36,2022-08-11,Helsinkipad,19,,
rotterdam,appartement,325000,4642.9,70,A,3071AS,Lodewijk Pincoffsweg 446,2000,23,2022-04-02,24,2022-04-26,Lodewijk Pincoffsweg,446,,
rotterdam,appartement,235000,3615.4,65,D,3067ZK,Vredeman de Vriesstraat 46,1964,59,2022-05-25,9,2022-06-03,Vredeman de Vriesstraat,46,,
rotterdam,appartement,225000,3688.5,61,B,3083BV,Zuiderterras 20,1978,45,2022-10-25,23,2022-11-17,Zuiderterras,20,,
rotterdam,appartement,425000,3935.2,108,C,3035AX,Zwart Janstraat 106 A,1894,129,2023-03-17,21,2023-04-07,Zwart Janstraat,106,A,
rotterdam,appartement,225000,2812.5,80,C,3079LM,Nieuwenoord 92,1967,56,2022-04-29,33,2022-06-01,Nieuwenoord,92,,
rotterdam,huis,700000,4402.5,159,B,3065NJ,Hendrik Sweijsstraat 64,1994,29,2022-10-13,76,2022-12-28,Hendrik Sweijsstraat,64,,
rotterdam,appartement,400000,4040.4,99,B,3038VW,Luzacstraat 12 A02,1933,90,2022-06-16,17,2022-07-03,Luzacstraat,12,A02,02
rotterdam,appartement,299000,4600.0,65,C,3063AH,Honingerdijk 7 B01,1936,87,2022-08-24,19,2022-09-12,Honingerdijk,7,B01,01
rotterdam,appartement,675000,4141.1,163,A,3071VN,Sleephellingstraat 12 B,1909,114,2022-04-01,26,2022-04-27,Sleephellingstraat,12,B,
rotterdam,appartement,300000,4411.8,68,F,3061RN,Vredenoordlaan 46 D,1954,69,2022-10-25,21,2022-11-15,Vredenoordlaan,46,D,
rotterdam,appartement,239000,3414.3,70,C,3085CR,Middelrode 14,1962,61,2022-06-09,19,2022-06-28,Middelrode,14,,
rotterdam,appartement,225000,3169.0,71,F,3079XG,Quadenoord 144,1965,58,2022-07-04,23,2022-07-27,Quadenoord,144,,
rotterdam,appartement,175000,4166.7,42,F,3076CP,Ogierssingel 133,1962,61,2023-01-26,25,2023-02-20,Ogierssingel,133,,
rotterdam,appartement,272500,3096.6,88,E,3067JK,Godijn van Dormaalstraat 108,1966,57,2022-11-02,41,2022-12-13,Godijn van Dormaalstraat,108,,
rotterdam,huis,325000,3155.3,103,B,3075PH,Bloemenlaan 24,1987,36,2022-10-22,35,2022-11-26,Bloemenlaan,24,,
rotterdam,huis,325000,3571.4,91,A,3067DA,Evenaar 40,1980,43,2022-05-23,31,2022-06-23,Evenaar,40,,
