city,house_type,price,price_m2,living_area,energy_label,zip,address,year_built,house_age,date_list,term_days,date_sold,street,number,suffix,extra
utrecht,huis,569000,5268.5,108,D,3525VG,Julianaweg 8,1936,87,2022-09-08,29,2022-10-07,Julianaweg,8,,
utrecht,huis,500000,4273.5,117,C,3524AA,Vlieland 28,1981,42,2022-11-07,17,2022-11-24,Vlieland,28,,
utrecht,appartement,350000,5645.2,62,C,3521EA,Jekerstraat 5 Bis A,1926,97,2022-10-21,17,2022-11-07,Jekerstraat,5,BSA,
utrecht,appartement,385000,4052.6,95,C,3524RM,Normandië 122,1983,40,2022-08-01,10,2022-08-11,Normandië,122,,
utrecht,huis,469000,6424.7,73,C,3555VD,Westinghousestraat 58,1915,108,2023-01-13,21,2023-02-03,Westinghousestraat,58,,
utrecht,appartement,325000,5508.5,59,D,3513CN,Otterstraat 54,1913,110,2022-11-25,12,2022-12-07,Otterstraat,54,,
utrecht,appartement,425000,5985.9,71,A,3511MZ,Arthur van Schendelstraat 685,1992,31,2022-09-19,15,2022-10-04,Arthur van Schendelstraat,685,,
utrecht,huis,495000,4057.4,122,C,3571ZS,De Vooysplantsoen 49,1970,53,2022-04-01,13,2022-04-14,De Vooysplantsoen,49,,
utrecht,huis,585000,4570.3,128,D,3571GD,Prof. Wentlaan 38,1931,92,2022-11-09,21,2022-11-30,Prof. Wentlaan,38,,
utrecht,appartement,250000,7142.9,35,G,3513GN,Kokkenhoflaan 8 bis A,1951,72,2023-04-12,16,2023-04-28,Kokkenhoflaan,8,BSA,
utrecht,appartement,270000,3802.8,71,E,3526JA,Livingstonelaan 430,1963,60,2022-04-26,160,2022-10-03,Livingstonelaan,430,,
utrecht,huis,500000,3937.0,127,A,3573BH,Steve Bikostraat 292,1992,31,2022-12-10,33,2023-01-12,Steve Bikostraat,292,,
utrecht,appartement,335000,6979.2,48,D,3531BE,Leidseweg 67,1904,119,2022-04-14,18,2022-05-02,Leidseweg,67,,
utrecht,huis,469000,2949.7,159,A,3524VH,Dolomieten 76,1977,46,2022-05-19,18,2022-06-06,Dolomieten,76,,
utrecht,appartement,535000,5297.0,101,C,3514CK,Adelaarstraat 108 bis,1903,120,2022-03-18,48,2022-05-05,Adelaarstraat,108,BS,
utrecht,appartement,375000,4687.5,80,A,3544VD,Atalantahof 36,2003,20,2022-11-10,56,2023-01-05,Atalantahof,36,,
utrecht,appartement,349500,5637.1,62,B,3553BR,Edisonstraat 119,1931,92,2023-03-21,23,2023-04-13,Edisonstraat,119,,
